Name;Price;Review;Score;Category;Subcategory;Store;Image;URL;Platform
SanDisk Extreme microSDXC UHS-I A2 256GB ความเร็วสูงสุด อ่าน 160MB/s เขียน 90MB/s (SDSQXA1-256G-GN6MN);1,265;21;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t19/248/866466878/160972/9f35dd57/5d664439N1dd2abed.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_3720935.html;JDCentral
32 GB MICRO SD CARD (ไมโครเอสดีการ์ด) SANDISK ULTRA CLASS 10 A1 (SDSQUA4-032G-GN6MN) SDSQUA4-032G-GN6MN 32GB;165;6;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;JIB Computer Group Authorized Store;https://img.jd.co.th/n1/jfs/t34/219/4078814110/58441/2efda475/5fa905f3N587630ef.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_13369403.html;JDCentral
SANDISK MICRO SDXC EXTREME PRO 128GB A2 C10 170MB/S R;1,090;4;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;JD CENTRAL;https://img.jd.co.th/n1/jfs/t1/191/9188715969/232787/73528c13/6141b6baNd653a50c.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_9012681.html;JDCentral
SanDisk Ultra microSDXC ความเร็ว 120MB/s ความจุ 128GB (SDSQUA4_128G_GN6MN) เมมโมรี่ แซนดิส ประกัน Synnex 10 ปี;515;20;95;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Sandisk Shop;https://img.jd.co.th/n1/jfs/t7/284/11343910962/115711/8b9ad687/62337f02N5e849af0.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_1963338.html;JDCentral
Ulanzi MT-08 ขาตั้งโมโนพอต สำหรับสมาทโฟนและกล้องขนาดเล็ก สีดำ MT-08 BLACK;590;1;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;zetashoponline;https://img.jd.co.th/n1/jfs/t31/143/3537774674/101190/f316188d/5f66f7a0Nad14e61e.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_7704484.html;JDCentral
Sandisk Ultra microSD Card SDXC ความเร็วอ่าน 120MB/s ความจุ 128GB Class 10 A1 (SDSQUA4_128G_GN6MN) เมมโมรี่ การ์ด แซนดิส Memory ประกัน Synnex 10 ปี;455;9;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Actioncam Thailand;https://img.jd.co.th/n1/jfs/t4/363/4173738968/425856/c9eef682/5f919071N8a6d025d.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_12582702.html;JDCentral
SanDisk ไมโครเอสดีการ์ด รุ่น Extreme;419;180;99;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;JD CENTRAL;https://img.jd.co.th/n1/jfs/t4/226/6049368/26871/842fafcd/5b23c9d7N8aafe97b.JPG!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_210279.html;JDCentral
[จัดส่งฟรXiaomi Mi มินิกระเป๋าเป้สะพายหลัง 10L กระเป๋า YKK ซิป Level4 กันน้ำในเมืองที่เดินทางมาพักผ่อนกีฬาหน้าอกแพ็คกระเป๋าสำหรับผู้ชายผู้หญิง U Nisex;339;520;97;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Taolishi Xiaomi Global Store;https://img.jd.co.th/n1/jfs/t31/300/2149464762/219059/6fa40ee2/5e952abbN75d533db.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_3551026.html;JDCentral
SanDisk MicroSD Card SDHC Ultra Class10 32GB ความเร็ว 80MB/S (SDSQUNS_032G_GN3MN) สำหรับ กล้องวงจรปิด กล้องติดรถยนต์ โทรศัพท์ มือถือ;145;58;98;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Actioncam Thailand;https://img.jd.co.th/n1/jfs/t16/73/6026073328/396555/a32de8be/60618b1fN3142ca7d.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_9510057.html;JDCentral
Kexin microSD 16G 64G 128G Ultra Class 10 Super Speed Pack, 80MB / S การ์ด Micro SD;199;57;98;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;KEXIN Official Store;https://img.jd.co.th/n1/jfs/t25/100/1694026194/54729/42c9a8d5/5dc502e8N38525ad1.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_4014720.html;JDCentral
